Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60
-0.145599202133076,-0.173500635862557,1.0802365,-0.259065436868348,-0.173500635862557,1.068342,-0.229610396606393,-0.14754241913516,0.504202,-0.17470162285942,-0.191672306406755,0.078632,-0.140246959230887,0.00388398757593569,0.010018,-0.0321329673978031,-0.173500635862557,1.092131,0.0698419411861958,-0.0693498997068054,0.50941,0.103711341029825,-0.172847389875565,0.121223,0.140246959230887,-0.00388398757593569,0.021178,-0.153656776105483,-0.169352922841604,1.2397775,-0.156255482543905,-0.134108838082997,1.484694,-0.153198304480675,-0.0668222599629721,1.654689,-0.323937974902888,-0.127184785708888,1.482187,-0.398323323070049,-0.19318540253972,1.112397,-0.369157723790925,-0.0330999831382655,0.8622995,-0.354949526473359,0.0185161420479117,0.738817,0.0114270098150788,-0.141032890457106,1.487201,0.117697384998786,-0.118529133652649,1.117895,0.114586019980605,0.0474263131763827,0.871566,0.129614177630133,0.101550482880508,0.74851
-0.146591034753823,-0.170753392739693,1.0805535,-0.260082114992812,-0.170753392739693,1.0686335,-0.232576276998307,-0.144213585417106,0.504906,-0.179786066330352,-0.188765646005062,0.078958,-0.140891100380564,0.00596987100394392,0.009957,-0.0330999545148351,-0.170753392739693,1.0924735,0.0761785746513664,-0.0586554953975857,0.513428,0.110241372893831,-0.173068667663253,0.129026,0.140891100380564,-0.00596987100394392,0.02188,-0.153815717621452,-0.165388624328771,1.240148,-0.155220130089997,-0.128656427305808,1.485313,-0.152401433333596,-0.0642936871151861,1.65520175,-0.323058688396857,-0.123608834763348,1.483711,-0.409620614552751,-0.192832859351503,1.114989,-0.357911590193593,0.00464360413294378,0.8940885,-0.334044612108874,0.0769206237837535,0.783622,0.0126184282168637,-0.133704019848267,1.486915,0.116448479941509,-0.139433830914746,1.118621,0.133047342764323,-0.0206037128596447,0.8486125,0.156877130431821,0.00152444505559959,0.716861
-0.146403248220589,-0.164248590213198,1.08210475,-0.259576869446176,-0.164248590213198,1.069602,-0.23337967569848,-0.139792901018336,0.505597,-0.184698793059157,-0.185425868787882,0.079594,-0.14136285622036,0.00881589810920911,0.010456,-0.0332296269950031,-0.164248590213198,1.0946075,0.0806170026168368,-0.0558453429600618,0.515321,0.117242454017193,-0.175353162598444,0.132872,0.14136285622036,-0.00881589810920911,0.022586,-0.153105749944858,-0.158531099245623,1.241927125,-0.153281991417388,-0.121804228775605,1.4885555,-0.150094294043382,-0.0617151216173459,1.6579775,-0.320866308776291,-0.116023757203117,1.487751,-0.418048368567654,-0.194417974436967,1.120851,-0.351381331172643,0.0326543607477101,0.9332565,-0.321422725601326,0.124344915972729,0.839846,0.0143023259415159,-0.127584700348093,1.48936,0.118680524428279,-0.172983889610214,1.124692,0.147415570997945,-0.0874700926465712,0.8439355,0.174380412531487,-0.080900986499538,0.710881
-0.143104121567256,-0.155362864803744,1.083512,-0.256357318940719,-0.155362864803744,1.07065,-0.232894793272569,-0.135756844407667,0.506715,-0.189194996957505,-0.181074465693674,0.080182,-0.142081916280807,0.012130864724901,0.010616,-0.0298509241937937,-0.155362864803744,1.096374,0.0813053429973857,-0.0630249279339332,0.513348,0.117428381435845,-0.181079224742536,0.12799,0.142081916280807,-0.012130864724901,0.02198,-0.149917540933018,-0.150386154067787,1.24356525,-0.150176258999247,-0.115934683585159,1.4918545,-0.14616475456627,-0.0587853061930197,1.66055275,-0.317386424638573,-0.108838736652642,1.490641,-0.41990879661154,-0.193148703317542,1.125354,-0.347998838677688,0.0524679809405746,0.9622825,-0.316236837410403,0.155333726397928,0.883331,0.017033906640079,-0.123030630517677,1.493068,0.118631036331325,-0.205158176198161,1.134841,0.154953189171391,-0.141660332563019,0.8489435,0.182791537847132,-0.144317408071516,0.715258
-0.136333606473389,-0.147353411603563,1.08400775,-0.249795141067718,-0.147353411603563,1.071646,-0.231634427451272,-0.130724780054591,0.507155,-0.192575768004747,-0.177674510322617,0.080747,-0.142890803076714,0.0151632858276712,0.011023,-0.0228720718790606,-0.147353411603563,1.0963695,0.0777902606910553,-0.0839798308084606,0.506639,0.107525500669632,-0.188227986765371,0.115349,0.142890803076714,-0.0151632858276712,0.021289,-0.143721420917483,-0.144112098512832,1.243799625,-0.144992710534627,-0.112256401376812,1.4925165,-0.140904994676488,-0.0577295651840884,1.66181175,-0.312423427910977,-0.10488028335371,1.489688,-0.413451930270692,-0.185508961973374,1.123028,-0.345413453805066,0.0651638914561235,0.967414,-0.316122229654674,0.172373300810067,0.893258,0.0224380068417235,-0.119632519399914,1.495345,0.118067847410991,-0.222236016731616,1.141933,0.155961813825445,-0.17877025537132,0.8524775,0.184486564273442,-0.187723722974964,0.719766
-0.124092138069486,-0.143616942280389,1.0848325,-0.237764957481714,-0.143616942280389,1.0724045,-0.223545682097918,-0.128140014458312,0.508095,-0.189868838123305,-0.178157282415584,0.081331,-0.143113995140777,0.0146389342114004,0.010773,-0.0104193186572584,-0.143616942280389,1.0972605,0.0754107154667607,-0.09786291081299,0.504584,0.10754682539074,-0.190538620731792,0.109781,0.143113995140777,-0.0146389342114004,0.021031,-0.131903649082224,-0.142906182314482,1.24417575,-0.134715276066494,-0.115077492667238,1.491409,-0.131497527897747,-0.0602877030415926,1.66251125,-0.302951039910562,-0.10971429958355,1.486959,-0.393941076589791,-0.179080780264875,1.116023,-0.342500961631043,0.0643508829139952,0.943373,-0.320853774399094,0.168271730316934,0.862708,0.0335204877775744,-0.120440685750927,1.495859,0.123492668676958,-0.218475033008449,1.141033,0.158997339936488,-0.190722172435118,0.850151,0.185920920034175,-0.209663924254141,0.718133
-0.110137084721054,-0.147533514076327,1.08625275,-0.223612356905405,-0.147533514076327,1.072336,-0.210807259760413,-0.131835201313252,0.508229,-0.179856616612413,-0.185509127513272,0.081376,-0.143906385958879,0.00817256350567197,0.009482,0.00333818746329676,-0.147533514076327,1.1001695,0.0907116146703506,-0.0963959494164451,0.507261,0.117838678919636,-0.186244114646544,0.109681,0.143906385958879,-0.00817256350567197,0.020214,-0.117397189143896,-0.149533396706649,1.245439375,-0.120849140007758,-0.125189639706668,1.49225,-0.118684782381446,-0.0679803222935236,1.663784,-0.289161225195767,-0.123976805767381,1.487121,-0.365230640270415,-0.175300775793101,1.113268,-0.341218992380745,0.0359361815607738,0.900542,-0.334876471613703,0.123349740593796,0.8001,0.0474629451802517,-0.126402473645955,1.497379,0.137607654805903,-0.202634030369579,1.137068,0.166134554769985,-0.168051150928457,0.8468395,0.188607895995878,-0.192369593192396,0.714103
-0.0941395075522171,-0.151207824216626,1.08547325,-0.207455159677155,-0.151207824216626,1.071825,-0.197725228757865,-0.135908673633805,0.508518,-0.168764967024722,-0.193348597818538,0.081357,-0.144864553178857,0.000363054458749048,0.007779,0.0191761445727211,-0.151207824216626,1.0991215,0.107679571841467,-0.0949610137387353,0.507283,0.131178754342434,-0.180896787772523,0.108829,0.144864553178857,-0.000363054458749048,0.019914,-0.101717955989359,-0.155620002877512,1.244555625,-0.105353769425316,-0.132849846199111,1.4910145,-0.103298562852942,-0.0759576484876068,1.6625725,-0.273602569507049,-0.129773935674273,1.486653,-0.339295555867772,-0.171533361197259,1.11199,-0.337678315739745,-0.0100908072852922,0.86274,-0.34003280092998,0.0435811528870265,0.740433,0.062895030656418,-0.135925756723949,1.495376,0.156897646908015,-0.184431904064828,1.129717,0.175335369275322,-0.114387206876846,0.8444185,0.189963404729086,-0.126218135412401,0.708752
-0.0732448300821845,-0.155025521690122,1.08554325,-0.18655402310646,-0.155025521690122,1.07113,-0.181350804958276,-0.140545209749338,0.508497,-0.153234185968963,-0.204512365427935,0.082584,-0.144489494895771,-0.0105353883300471,0.007166,0.0400643629420909,-0.155025521690122,1.0999565,0.123620161213434,-0.0886871491483669,0.507119,0.145238869319714,-0.172246415641171,0.108549,0.144489494895771,0.0105353883300471,0.020089,-0.0815613598772724,-0.161258340524368,1.244062375,-0.0853939082875387,-0.139094288810251,1.489583,-0.0838943739181068,-0.0840155354265739,1.6617125,-0.253703226380901,-0.132876260650355,1.485461,-0.315899885980182,-0.183031711996059,1.112003,-0.328938702633686,-0.0681039644967003,0.844105,-0.330449808391568,-0.0477680604010252,0.710188,0.082915409805824,-0.145312316970146,1.493705,0.181589992091082,-0.164906829054654,1.123819,0.182222551893486,-0.0416901729389067,0.855007,0.194422942045888,-0.0198604963865807,0.721625
-0.0511655693620752,-0.158772880943518,1.084228,-0.164127021937722,-0.158772880943518,1.0704035,-0.163943923097114,-0.142375342254295,0.508309,-0.135986199909329,-0.21428831462476,0.083772,-0.142954932782809,-0.022008393707005,0.006716,0.0617958832135711,-0.158772880943518,1.0980525,0.135575387575193,-0.0772210907093153,0.507003,0.158993895921909,-0.15970644283207,0.107877,0.142954932782809,0.022008393707005,0.019913,-0.0594472967360527,-0.164587178564737,1.243115,-0.0629089170860402,-0.141798174304402,1.489374,-0.061182218902256,-0.0891118247285198,1.661858,-0.231053383405473,-0.135134697385177,1.485895,-0.291018409310783,-0.209651828336225,1.116091,-0.310529144484129,-0.120239685771607,0.8400175,-0.314565438773942,-0.115000568917973,0.704125,0.105235549233393,-0.148461651223628,1.492853,0.209100671312475,-0.147750075157924,1.121132,0.183764826440231,0.0339499529402016,0.8865255,0.187088734573835,0.0898927387393495,0.764045
